snippet,intent
zlib.compressobj(level=-1),"Returns a compression object , to be used for compressing data streams that won ’ t fit into memory at once . `level` is the compression level – an integer from 0 to 9 or -1 ."
urllib.request.HTTPCookieProcessor(cookiejar=None),A class to handle HTTP Cookies . With arguments `cookiejar`.
"os.set_blocking(fd, blocking)",Set the `blocking` mode of the specified file descriptor . With arguments `fd`.
any(iterable),Return True if any element of the `iterable` is true .
argparse.FileType(errors=None),The FileType factory creates objects that can be passed to the type argument of ArgumentParser.add_argument ( ) . With arguments `errors`.
"calendar.prcal(year, l=0)",Prints the calendar for an entire `year` as returned by calendar ( ) . With arguments `l`.
"xml.etree.ElementTree.XMLParser(html=0, encoding=None)","This class is the low-level building block of the module . The `html` argument was historically used for backwards compatibility and is now deprecated . If `encoding` 1 is given , the value overrides the encoding specified in the XML file ."
"importlib.resources.is_resource(package, name)","Return True if there is a resource named `name` in the `package` , otherwise False ."
"random.seed(a=None, version=2)","Initialize the random number generator . If `a` is omitted or None , the current system time is used . With `version` 2 ( the default ) , a str , bytes , or bytearray object gets converted to an int and all of its bits are used ."
inspect.getmro(cls),"Return a tuple of class `cls` ’ s base classes , including cls , in method resolution order ."
formatter.assert_line_data(flag=1),Inform the formatter that data has been added to the current paragraph out-of-band . The optional `flag` argument can be set to false if the writer manipulations produced a hard line break at the end of the output .
"zipapp.create_archive(source, target=None)",Create an application archive from `source` . The `target` argument determines where the resulting archive will be written :
IMAP4.enable(capability),Enable `capability` ( see RFC 5161 ) .
"int.from_bytes(bytes, byteorder)",Return the integer represented by the given array of `bytes` . The `byteorder` argument determines the byte order used to represent the integer .
@dataclasses.dataclass(init=True),"This function is a decorator that is used to add generated special methods to classes , as described below . With arguments `init`."
"signature.bind(*args, **kwargs)","Create a mapping from positional and keyword arguments to parameters . Returns BoundArguments if `*args` and `**kwargs` match the signature , or raises a TypeError ."
sniffer.sniff(sample),Analyze the given `sample` and return a Dialect subclass reflecting the parameters found .
ordered_dict.move_to_end(key),Move an existing `key` to either end of an ordered dictionary .
mailcap.findmatch(caps),"Return a 2-tuple ; the first element is a string containing the command line to be executed ( which can be passed to os.system ( ) ) , and the second element is the mailcap entry for a given MIME type . With arguments `caps`."
IMAP4.read(size),Reads `size` bytes from the remote server .
config_parser.add_section(section),Add a `section` named section to the instance .
"window.hline(y, x, ch, n)","Display a horizontal line starting at ( `y` , `x` ) with length `n` consisting of the character `ch` ."
"FTP.connect(host='', port=0)",Connect to the given `host` and `port` .
loop.set_exception_handler(handler),Set `handler` as the new event loop exception handler .
babyl_message.set_labels(labels),Set the list of `labels` on the message to labels .
argparse.ArgumentParser(parents=),Create a new ArgumentParser object . With arguments `parents`.
loop.sock_accept(sock),Accept a connection . `sock` must be a non-blocking socket .
"io.FileIO(name, closefd=True)",FileIO represents an OS-level file containing bytes data . The `name` can be one of two things : With arguments `closefd`.
"difflib.get_close_matches(word, possibilities, n=3)","Return a list of the best “ good enough ” matches . `word` is a sequence for which close matches are desired ( typically a string ) , and `possibilities` is a list of sequences against which to match word ( typically a list of strings ) . Optional argument `n` ( default 3 ) is the maximum number of close matches to return ; n must be greater than 0 ."
"os.read(fd, n)",Read at most `n` bytes from file descriptor `fd` .
gc.collect(generation=2),"With no arguments , run a full collection . The optional argument `generation` may be an integer specifying which generation to collect ( from 0 to 2 ) ."
"bdb.runcall(func, *args, **kwds)","Debug a single function call , and return its result . With arguments `func`, `*args`, `**kwds`."
"csv.DictWriter(f, fieldnames, *args, **kwds, extrasaction='raise')","Create an object which operates like a regular writer but maps dictionaries onto output rows . The `fieldnames` parameter is a sequence of keys that identify the order in which values in the dictionary passed to the writerow ( ) method are written to file f. The optional `restval` parameter specifies the value to be written if the dictionary is missing a key in fieldnames . If the dictionary passed to the writerow ( ) method contains a key not found in fieldnames , the optional `extrasaction` parameter indicates what action to take . With arguments `f`, `*args`, `**kwds`."
"@test.support.run_with_locale(catstr, *locales)","A decorator for running a function in a different locale , correctly resetting it after it has finished . `catstr` is the locale category as a string ( for example `` LC_ALL '' ) . With arguments `*locales`."
"DTDHandler.unparsedEntityDecl(name, publicId, systemId, ndata)","Handle an unparsed entity declaration event . With arguments `name`, `publicId`, `systemId`, `ndata`."
